movie_code,title,audience,recorded_at
20184105,말모이,1185368,2019-01-13
20176251,내안의 그놈,765383,2019-01-13
20189463,주먹왕 랄프 2: 인터넷 속으로,1342315,2019-01-13
20180290,아쿠아맨,4920735,2019-01-13
20183915,극장판 공룡메카드: 타이니소어의 섬,289873,2019-01-13
20185485,보헤미안 랩소디,9785643,2019-01-13
20184574,그린 북,99569,2019-01-13
20186281,범블비,1553491,2019-01-13
20170658,PMC: 더 벙커,1665204,2019-01-13
20175547,스윙키즈,1462874,2019-01-13
20183785,점박이 한반도의 공룡2 : 새로운 낙원,521053,2019-01-06
20184187,언니,172340,2019-01-06
20182421,그린치,543815,2019-01-06
20168773,마약왕,1787838,2018-12-30
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,259753,2018-12-30
20183238,스파이더맨: 뉴 유니버스,628327,2018-12-30
20177552,국가부도의 날,3723915,2018-12-23
20179230,도어락,1546002,2018-12-23
20183375,극장판 포켓몬스터 모두의 이야기,86997,2018-12-23
20189843,호두까기 인형과 4개의 왕국,408425,2018-12-16
20182082,부탁 하나만 들어줘,87501,2018-12-16
20178825,모털 엔진,262070,2018-12-16
20183745,런닝맨 : 풀룰루의 역습,180709,2018-12-16
20177538,완벽한 타인,5270621,2018-12-16
20184481,성난황소,1567264,2018-12-09
20181905,후드,276658,2018-12-09
20176814,신비한 동물들과 그린델왈드의 범죄,2403686,2018-12-09
20183073,베일리 어게인,78439,2018-12-02
20181171,바울,229837,2018-12-02
20183007,거미줄에 걸린 소녀,25172,2018-12-02
20182966,투 프렌즈,20419,2018-12-02
20183050,번 더 스테이지: 더 무비,298402,2018-11-25
20182935,출국,71407,2018-11-25
20182669,툴리,24325,2018-11-25
20186822,너의 췌장을 먹고 싶어,48910,2018-11-25
20170513,동네사람들,445625,2018-11-18
20189869,해피 투게더,15745,2018-11-18
20174981,창궐,1588443,2018-11-11
20010291,해리포터와 마법사의 돌,259733,2018-11-11
20179006,여곡성,55997,2018-11-11
20181404,벽 속에 숨은 마법시계,211233,2018-11-11
20180523,스타 이즈 본,458917,2018-11-11
20182693,구스범스: 몬스터의 역습,21400,2018-11-11
